Reporter Identifier	VALUE
A_51_P114067	-5.681424
A_51_P114094	3.4159708
A_51_P114126	-5.3653946
A_51_P114136	2.1471825
A_51_P114148	-4.59677
A_51_P114177	3.2172098
A_51_P114214	-1.9340215
A_51_P114222	-5.694806
A_51_P114236	-7.82E-05
A_51_P114274	-0.32370758
A_51_P114287	1.9344702
A_51_P114297	2.7219744
A_51_P114307	0.031544685
A_51_P114314	-1.0345302
A_51_P114336	-2.1670861
A_51_P114348	-2.7975845
A_51_P114353	0.15054989
A_51_P114372	-0.027377129
A_51_P114385	4.484516
A_51_P114403	-6.2484374
A_51_P114407	1.6819515
A_51_P114456	-3.0946226
A_51_P114462	-3.4099455
A_51_P114472	-0.24056625
A_51_P114504	-6.0409145
A_51_P114533	-6.3572664
A_51_P114551	0.6740408
A_51_P114563	3.496807
A_51_P114577	-5.0701323
A_51_P114591	2.7466488
A_51_P114606	-1.3385615
A_51_P114616	-0.12195873
A_51_P114634	-1.1154628
A_51_P114693	-2.0070996
A_51_P114714	-0.16180134
A_51_P114722	-6.3288107
A_51_P114772	-1.997664
A_51_P114797	-6.2469673
A_51_P114817	-4.2941947
A_51_P114826	-0.11085701
A_51_P114843	-2.3851237
A_51_P114854	3.1266127
A_51_P114878	0.7014446
A_51_P114900	-6.2826223
A_51_P114910	4.193178
A_51_P114917	-4.5886755
A_51_P114941	-2.8214045
A_51_P114966	-1.8695483
A_51_P115005	-6.2830358
A_51_P115018	-0.64599323
A_51_P115027	0.70203495
A_51_P115049	-5.1351185
A_51_P115085	2.0808496
A_51_P115093	0.08218193
A_51_P115098	-0.8707571
A_51_P115139	-4.2186184
A_51_P115147	-6.2701054
A_51_P115159	6.2031097
A_51_P115178	-5.367012
A_51_P115192	-6.3936634
A_51_P115197	-1.5216722
A_51_P115229	-4.9427967
A_51_P115244	-6.2643113
A_51_P115268	2.3763084
A_51_P115303	-6.2535124
A_51_P115315	-6.2946463
A_51_P115326	4.5158234
A_51_P115334	3.4241123
A_51_P115335	-1.8521147
A_51_P115346	-4.981605
A_51_P115359	-6.206154
A_51_P115374	-3.9721189
A_51_P115376	-6.268841
A_51_P115441	0.9157553
A_51_P115462	-6.2315817
A_51_P115471	-6.278281
A_51_P115526	-6.2554407
A_51_P115535	-3.52135
A_51_P115547	2.249673
A_51_P115575	-6.3447227
A_51_P115601	-6.2696877
A_51_P115626	-6.2612085
A_51_P115635	-6.267582
A_51_P115655	2.3812828
A_51_P115656	-6.006206
A_51_P115666	1.1725569
A_51_P115715	-1.4905157
A_51_P115738	-5.2160425
A_51_P115749	0.070121765
A_51_P115768	-1.4321218
A_51_P115800	-6.2753577
A_51_P115817	-4.7305536
A_51_P115829	5.358675
A_51_P115863	-4.359548
A_51_P115868	-6.2222376
A_51_P115886	1.0961599
A_51_P115895	-5.3601456
A_51_P115896	-6.171095
A_51_P115905	-6.319373
A_51_P115934	-3.4217472
A_51_P115940	-0.6287298
A_51_P115953	-6.2716556
A_51_P115988	1.4335365
A_51_P116007	-2.418035
A_51_P116023	-3.5217018
A_51_P116027	3.5981379
A_51_P116039	-6.285923
A_51_P116064	-6.2875524
A_51_P116071	-6.3305464
A_51_P116088	3.832224
A_51_P116130	0.10705185
A_51_P116137	-6.31717
A_51_P116157	-1.066885
A_51_P116179	-6.2820377
A_51_P116211	-6.3032827
A_51_P116226	-6.2576804
A_51_P116239	-4.270798
A_51_P116245	-6.232733
A_51_P116289	-0.3998251
A_51_P116298	-2.5533462
A_51_P116309	2.6101122
A_51_P116326	-2.7816544
A_51_P116343	-6.276331
A_51_P116377	-6.3561964
A_51_P116395	2.6524057
A_51_P116407	-0.15402889
A_51_P116419	-1.8469691
A_51_P116421	1.2360258
A_51_P116431	-6.27615
A_51_P116447	0.6235132
A_51_P116465	-6.266034
A_51_P116479	0.30760098
A_51_P116487	6.1247625
A_51_P116496	-3.4369397
A_51_P116581	3.591587
A_51_P116601	-2.4862309
A_51_P116609	-5.846697
