Reporter Identifier	VALUE
A_51_P116725	-6.510308
A_51_P116755	-5.825322
A_51_P116796	-5.120775
A_51_P116813	0.61491585
A_51_P116838	9.749519
A_51_P116889	-6.0253263
A_51_P116896	-5.3330717
A_51_P116906	5.358033
A_51_P116932	-5.747149
A_51_P116940	-1.4747157
A_51_P116946	-4.715762
A_51_P116976	-1.2078681
A_51_P116986	-2.8551283
A_51_P117015	-4.9995317
A_51_P117020	-5.3147736
A_51_P117087	-4.379476
A_51_P117109	1.2674875
A_51_P117115	-3.1902266
A_51_P117130	-0.680913
A_51_P117162	3.191493
A_51_P117165	-3.690112
A_51_P117195	-6.4933577
A_51_P117206	-5.329292
A_51_P117226	2.6613922
A_51_P117236	-0.6373434
A_51_P117369	-3.442092
A_51_P117378	-5.8399343
A_51_P117385	-4.7678833
A_51_P117411	-5.1523447
A_51_P117432	0.3526821
A_51_P117439	0.7789459
A_51_P117457	0.9992666
A_51_P117477	-0.39809275
A_51_P117494	2.4990053
A_51_P117567	-6.6047316
A_51_P117581	1.9474859
A_51_P117600	-1.4466643
A_51_P117604	2.296505
A_51_P117612	-5.3198533
A_51_P117618	1.2653236
A_51_P117627	-4.461239
A_51_P117640	-2.2297602
A_51_P117664	0.8807678
A_51_P117666	3.7965517
A_51_P117711	-1.8162355
A_51_P117739	-5.1416416
A_51_P117752	-1.7837644
A_51_P117777	2.59262
A_51_P117794	-4.3171663
A_51_P117832	0.004190445
A_51_P117835	-2.2851706
A_51_P117865	0.22868443
A_51_P117881	-6.368367
A_51_P117890	-6.515065
A_51_P117903	-5.1763067
A_51_P117924	-1.2148571
A_51_P117933	-5.843356
A_51_P117952	-1.9637513
A_51_P117995	3.0847797
A_51_P118012	-3.2456956
A_51_P118024	-6.5516486
A_51_P118046	-6.1830835
A_51_P118061	-5.8421288
A_51_P118103	-2.693828
A_51_P118132	-0.1519413
A_51_P118168	0.38634777
A_51_P118188	-4.230549
A_51_P118223	-0.14206886
A_51_P118225	-5.484295
A_51_P118237	-0.63555956
A_51_P118246	-1.8800011
A_51_P118284	-3.7794113
A_51_P118300	-3.855041
A_51_P118320	3.577757
A_51_P118400	-6.5833673
A_51_P118415	3.6255379
A_51_P118417	6.3225765
A_51_P118433	-2.3282642
A_51_P118443	1.4922361
A_51_P118468	-3.300541
A_51_P118506	-6.535676
A_51_P118527	-6.499404
A_51_P118535	1.1549892
A_51_P118539	1.486948
A_51_P118545	-6.5187225
A_51_P118603	2.9145746
A_51_P118637	3.458086
A_51_P118650	2.9565687
A_51_P118664	-2.1532073
A_51_P118671	2.0813036
A_51_P118688	-3.5148544
A_51_P118704	-1.3075352
A_51_P118712	4.4993086
A_51_P118715	0.44049454
A_51_P118720	0.3068838
A_51_P118727	-1.9832149
A_51_P118742	2.1124125
A_51_P118763	1.6665688
A_51_P118765	8.353008
A_51_P118779	-0.20063305
A_51_P118822	-6.491679
A_51_P118868	-4.479687
A_51_P118877	-6.547593
A_51_P118885	2.4864616
A_51_P118902	-0.27799177
A_51_P118945	-5.0284348
A_51_P119016	0.5707331
A_51_P119031	-0.43006086
A_51_P119039	-6.4229646
A_51_P119055	-0.4039111
A_51_P119066	-2.7973218
A_51_P119077	7.7807255
A_51_P119100	-3.7277951
A_51_P119106	8.240162
A_51_P119161	-3.277748
A_51_P119215	-3.7929916
A_51_P119239	-2.908949
A_51_P119255	-5.8447943
A_51_P119306	-6.535183
A_51_P119315	-4.8109484
A_51_P119358	0.19033241
A_51_P119387	-6.4240494
A_51_P119401	0.065966606
A_51_P119429	-1.5441613
A_51_P119460	0.74400806
A_51_P119469	-4.2969933
A_51_P119525	-6.6129065
A_51_P119544	0.5143814
A_51_P119588	-3.5380845
A_51_P119597	4.7001524
A_51_P119633	-6.350001
A_51_P119636	-6.495022
A_51_P119670	-2.8821115
A_51_P119715	7.025199
A_51_P119726	-3.5865078
A_51_P119749	-1.3800507
A_51_P119760	-3.411872
A_51_P119771	-3.8470216
A_51_P119776	-3.3939576
A_51_P119841	-2.9558167
A_51_P119857	1.3873014
A_51_P119882	-4.8943777
